T,X,V,A,U
0.000000000000000e+00,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
1.000000113351433e-03,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
2.000000126702865e-03,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
3.000000240054299e-03,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
4.000000153405729e-03,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
5.000000266757162e-03,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
6.000000480108597e-03,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
7.000000593460030e-03,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
8.000000806811465e-03,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
9.000000520162893e-03,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
1.000000063351433e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
1.100000084686576e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
1.200000096021719e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
1.300000117356863e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
1.400000128692006e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
1.500000150027150e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
1.600000161362293e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
1.700000082697435e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
1.800000104032579e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
1.900000115367722e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
2.000000136702865e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
2.100000148038009e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
2.200000169373152e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
2.300000180708296e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
2.400000202043439e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
2.500000213378582e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
2.600000234713726e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
2.700000246048869e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
2.800000267384013e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	0.000000000000000e+00
2.900000278719156e-02,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00
